Set,HLA-I frequency,HLA-II frequency,Overall frequency,EUR HLA-I frequency,EUR DRB1 frequency,AFA HLA-I frequency,AFA DRB1 frequency,API HLA-I frequency,API DRB1 frequency,HIS HLA-I frequency,HIS DRB1 frequency
CD4_h_27,0.913011269214679,0.884507871824486,0.807565654684848,0.949867631966024,0.779950217996546,0.771880659986773,0.553894298265073,0.804388945319986,0.490125815675166,0.860889813755443,0.546765144010606
 CD8_h_27,0.957748969643496,0.613065095845201,0.587162463870132,0.979998032168963,0.595756959051103,0.850857830851305,0.418453595976606,0.883405202718206,0.28641277120389,0.912770435443866,0.35095838301613
 CD4_CD8_h_27,0.922409850423841,0.884507871824486,0.815878773748334,0.955364986198882,0.779950217996546,0.779036773697427,0.553894298265073,0.86814691713935,0.490125815675166,0.873441365231043,0.546765144010606
CD4_b_27,0.768048766118983,0.846851497494619,0.650423247736755,0.842837143507371,0.779950217996546,0.564875346460105,0.553894298265073,0.495345190624723,0.490125815675166,0.678404667494116,0.546765144010606
 CD8_b_27,0.957748969643496,0.613065095845201,0.587162463870132,0.979998032168963,0.595756959051103,0.850857830851305,0.418453595976606,0.883405202718206,0.28641277120389,0.912770435443866,0.35095838301613
 CD4_CD8_b_27,0.922409850423841,0.846851497494619,0.781144163135218,0.955364986198882,0.779950217996546,0.779036773697427,0.553894298265073,0.86814691713935,0.490125815675166,0.873441365231043,0.546765144010606
CD4_d_27,0.913011269214679,0.884507871824486,0.807565654684848,0.949867631966024,0.779950217996546,0.771880659986773,0.553894298265073,0.804388945319986,0.490125815675166,0.860889813755443,0.546765144010606
 CD8_d_27,0.95126080662591,0.613065095845201,0.583184797587896,0.975773592288079,0.595756959051103,0.839756698536958,0.418453595976606,0.88140470658077,0.28641277120389,0.904050983184514,0.35095838301613
 CD4_CD8_d_27,0.938266455578301,0.846851497494619,0.794572352955452,0.967601433084208,0.779950217996546,0.813221740548563,0.553894298265073,0.868660015427008,0.490125815675166,0.883615412172312,0.546765144010606
CD4_bd_27,0.922409850423841,0.846851497494619,0.781144163135218,0.955364986198882,0.779950217996546,0.779036773697427,0.553894298265073,0.86814691713935,0.490125815675166,0.873441365231043,0.546765144010606
 CD8_bd_27,0.937966625298073,0.761899929782226,0.714636705952674,0.966977962649275,0.779950217996546,0.810132181480416,0.553894298265073,0.874996323200066,0.490125815675166,0.886867525193384,0.546765144010606
 CD4_CD8_bd_27,0.921427914011702,0.846851497494619,0.780312608814152,0.955838822679568,0.779950217996546,0.778691649852782,0.553894298265073,0.86156296334262,0.490125815675166,0.862772158722431,0.546765144010606
Bc_27,0.860055998269493,0.528386601845888,0.45444206632279,0.898131748469378,0.603619022369621,0.772091703334289,0.451779284678006,0.804746298615798,0.328427620672858,0.810920825988722,0.394007111513362
